"Country","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Afghanistan","17","0","13","18","0","13","19","0","14","20","1","15","21","1","16","22","2","17","22","2","18","23","3","18","24","3","19","25","4","20","26","4","21","27","5","22","28","5","23","29","6","23","30","6","24","30","7","25","31","7","26","31","7","26"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1"
"Algeria","2","0","1","2","0","1","2","0","1","3","0","1","4","0","1","5","0","2","6","0","2","6","0","2","7","0","3","8","0","3","9","0","3","10","1","4","11","1","4","11","1","5","12","1","5","13","1","5","14","1","6","15","1","6"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","55","1","20","56","2","21","56","3","23","57","4","24","58","5","25","58","6","26","59","7","28","60","8","29","60","10","30","61","11","32","62","12","33","63","13","34","63","14","36","64","15","37","65","16","38","65","17","40","66","18","41","67","19","43"
"Antigua and Barbuda","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1"
"Argentina","","2","","","2","","","2","","8","2","2","8","2","2","8","1","2","8","1","2","8","1","2","8","1","2","8","1","2","8","1","2","8","1","2","","1","","","1","","","1","","","1","","","1","","","1",""
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Austria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bahamas","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1"
"Bahrain","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Bangladesh","0","0","0","0","0","0","2","0","1","3","1","2","4","1","3","6","1","4","7","2","5","8","2","6","10","2","7","11","3","9","12","3","10","14","3","11","15","4","12","16","4","13","18","4","14","19","5","15","20","5","17","22","5","18"
"Barbados","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1"
"Belarus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
